model,arm,base,budget,task,score
llama3_8b,base,h2o,128,2wikimqa,44.91
llama3_8b,base,h2o,128,gov_report,24.43
llama3_8b,base,h2o,128,hotpotqa,53.46
llama3_8b,base,h2o,128,lcc,58.99
llama3_8b,base,h2o,128,multi_news,23.30
llama3_8b,base,h2o,128,multifieldqa_en,37.57
llama3_8b,base,h2o,128,musique,27.55
llama3_8b,base,h2o,128,narrativeqa,25.12
llama3_8b,base,h2o,128,passage_count,10.00
llama3_8b,base,h2o,128,passage_retrieval_en,98.50
llama3_8b,base,h2o,128,qasper,26.38
llama3_8b,base,h2o,128,qmsum,22.97
llama3_8b,base,h2o,128,repobench,49.58
llama3_8b,base,h2o,128,samsum,38.40
llama3_8b,base,h2o,128,trec,59.50
llama3_8b,base,h2o,128,triviaqa,88.01
llama3_8b,base,h2o,256,2wikimqa,45.93
llama3_8b,base,h2o,256,gov_report,27.05
llama3_8b,base,h2o,256,hotpotqa,54.87
llama3_8b,base,h2o,256,lcc,61.29
llama3_8b,base,h2o,256,multi_news,24.61
llama3_8b,base,h2o,256,multifieldqa_en,44.23
llama3_8b,base,h2o,256,musique,28.52
llama3_8b,base,h2o,256,narrativeqa,26.72
llama3_8b,base,h2o,256,passage_count,10.00
llama3_8b,base,h2o,256,passage_retrieval_en,96.00
llama3_8b,base,h2o,256,qasper,31.79
llama3_8b,base,h2o,256,qmsum,23.29
llama3_8b,base,h2o,256,repobench,51.99
llama3_8b,base,h2o,256,samsum,39.03
llama3_8b,base,h2o,256,trec,64.00
llama3_8b,base,h2o,256,triviaqa,89.23
llama3_8b,base,h2o,1024,2wikimqa,48.09
llama3_8b,base,h2o,1024,gov_report,30.43
llama3_8b,base,h2o,1024,hotpotqa,56.84
llama3_8b,base,h2o,1024,lcc,63.58
llama3_8b,base,h2o,1024,multi_news,26.56
llama3_8b,base,h2o,1024,multifieldqa_en,52.92
llama3_8b,base,h2o,1024,musique,31.25
llama3_8b,base,h2o,1024,narrativeqa,28.28
llama3_8b,base,h2o,1024,passage_count,9.83
llama3_8b,base,h2o,1024,passage_retrieval_en,93.00
llama3_8b,base,h2o,1024,qasper,40.22
llama3_8b,base,h2o,1024,qmsum,24.57
llama3_8b,base,h2o,1024,repobench,56.14
llama3_8b,base,h2o,1024,samsum,41.59
llama3_8b,base,h2o,1024,trec,69.00
llama3_8b,base,h2o,1024,triviaqa,90.04
llama3_8b,base,laprox,128,2wikimqa,47.91
llama3_8b,base,laprox,128,gov_report,19.11
llama3_8b,base,laprox,128,hotpotqa,56.05
llama3_8b,base,laprox,128,lcc,59.58
llama3_8b,base,laprox,128,multi_news,18.82
llama3_8b,base,laprox,128,multifieldqa_en,53.41
llama3_8b,base,laprox,128,musique,29.17
llama3_8b,base,laprox,128,narrativeqa,26.98
llama3_8b,base,laprox,128,passage_count,12.00
llama3_8b,base,laprox,128,passage_retrieval_en,98.00
llama3_8b,base,laprox,128,qasper,27.83
llama3_8b,base,laprox,128,qmsum,22.86
llama3_8b,base,laprox,128,repobench,53.96
llama3_8b,base,laprox,128,samsum,40.66
llama3_8b,base,laprox,128,trec,47.50
llama3_8b,base,laprox,128,triviaqa,88.28
llama3_8b,base,laprox,256,2wikimqa,48.75
llama3_8b,base,laprox,256,gov_report,22.41
llama3_8b,base,laprox,256,hotpotqa,56.74
llama3_8b,base,laprox,256,lcc,63.54
llama3_8b,base,laprox,256,multi_news,21.68
llama3_8b,base,laprox,256,multifieldqa_en,54.57
llama3_8b,base,laprox,256,musique,32.18
llama3_8b,base,laprox,256,narrativeqa,29.12
llama3_8b,base,laprox,256,passage_count,11.80
llama3_8b,base,laprox,256,passage_retrieval_en,99.50
llama3_8b,base,laprox,256,qasper,34.06
llama3_8b,base,laprox,256,qmsum,24.11
llama3_8b,base,laprox,256,repobench,56.51
llama3_8b,base,laprox,256,samsum,41.43
llama3_8b,base,laprox,256,trec,58.00
llama3_8b,base,laprox,256,triviaqa,90.39
