# Runtime breakdown on Llama-3.1-8B-Instruct, Qasper, 200 documents, ~5K-token
# prompts, exclusive GPU. Medians per document. "added_logic" counts eviction-
# and selection-related work only, excluding prefill and generation.
# Rebuild with: bash scripts/run_latency.sh && python scripts/export_latency.py
method,probe_len,component,ms,n
snapkv,,added_logic,5.6,200
snapkv,,total,5.6,200
lookaheadkv,,added_logic,11.2,200
lookaheadkv,,total,11.2,200
foresightkv,,added_logic,134.7,200
foresightkv,,total,134.7,200
rescue_corr,,added_logic,145.6,200
rescue_corr,,total,145.6,200
rescue,1,added_logic,277.2,200
rescue,1,total,277.2,200
rescue,1,probe,20.9,200
rescue,1,candidates,253.8,200
rescue,2,total,330.4,200
rescue,4,total,442.9,200
rescue,8,total,682.6,200
# The same measurement at larger budgets, for the accuracy-against-cost table.
# RESCUE's overhead is flat in the budget: the cost is building and replaying the
# candidate caches, which scales with the prompt rather than with how much is kept.
snapkv,,total_b256,5.4,200
snapkv,,total_b1024,5.3,200
rescue,1,total_b256,275.1,200
rescue,1,total_b1024,274.2,200
